Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,SG,C,SF,PF,PG
PG/SG,Jerryd Bayless,3900,MIA@PHI 02/02/2018 08:00PM ET,15.020999999999999,PHI,1,0,0,0,1
SF/PF,Joe Johnson,3900,UTA@PHO 02/02/2018 09:00PM ET,14.325,UTA,0,0,1,1,0
PF/C,Daniel Theis,3900,ATL@BOS 02/02/2018 07:30PM ET,13.545,BOS,0,1,0,1,0
SG/SF,Vince Carter,3900,GS@SAC 02/02/2018 10:30PM ET,12.645,SAC,1,0,1,0,0
C,Cody Zeller,3800,IND@CHA 02/02/2018 07:00PM ET,18.092,CHA,0,1,0,0,0
SG/SF,Evan Turner,3800,POR@TOR 02/02/2018 07:30PM ET,17.98,POR,1,0,1,0,0
SG/SF,Andre Iguodala,3800,GS@SAC 02/02/2018 10:30PM ET,17.872,GS,1,0,1,0,0
PF/C,Bam Adebayo,3800,MIA@PHI 02/02/2018 08:00PM ET,17.458,MIA,0,1,0,1,0
C,Zaza Pachulia,3800,GS@SAC 02/02/2018 10:30PM ET,15.384,GS,0,1,0,0,0
C,Aron Baynes,3800,ATL@BOS 02/02/2018 07:30PM ET,14.673,BOS,0,1,0,0,0
C,Ekpe Udoh,3800,UTA@PHO 02/02/2018 09:00PM ET,12.453,UTA,0,1,0,0,0
PG/SG,Josh Hart,3800,LAL@BKN 02/02/2018 07:30PM ET,12.4,LAL,1,0,0,0,1
C,Jahlil Okafor,3800,LAL@BKN 02/02/2018 07:30PM ET,11.417,BKN,0,1,0,0,0
PF/C,Zach Collins,3800,POR@TOR 02/02/2018 07:30PM ET,11.079,POR,0,1,0,1,0
PG,Cory Joseph,3700,IND@CHA 02/02/2018 07:00PM ET,18.005,IND,0,0,0,0,1
SG/SF,Justise Winslow,3700,MIA@PHI 02/02/2018 08:00PM ET,17.939,MIA,1,0,1,0,0
PG,Frank Mason III,3700,GS@SAC 02/02/2018 10:30PM ET,15.569,SAC,0,0,0,0,1
SG/SF,Tony Snell,3700,NY@MIL 02/02/2018 08:00PM ET,14.83,MIL,1,0,1,0,0
PF/C,Amir Johnson,3700,MIA@PHI 02/02/2018 08:00PM ET,14.706,PHI,0,1,0,1,0
